region_code,region_name,city_code,city_name,street_code,street_name,street_name_status,official_code
31,חיפה,4000,חיפה,9708,רח יח ק חיים,synonym of 172,172
31,חיפה,4000,חיפה,9709,רח יח,synonym of 172,172
31,חיפה,4000,חיפה,9710,ציזלינג,synonym of 172,172
31,חיפה,4000,חיפה,9711,אהרון ציזלינג,synonym of 172,172
31,חיפה,4000,חיפה,173,שבטי ישראל,official,173
31,חיפה,4000,חיפה,9712,ק חיים רח י,synonym of 173,173
31,חיפה,4000,חיפה,9713,רח יא ק חיים,synonym of 173,173
31,חיפה,4000,חיפה,9714,ק חיים רח יא,synonym of 173,173
31,חיפה,4000,חיפה,9715,רח יא,synonym of 173,173
31,חיפה,4000,חיפה,174,שבעת המינים,official,174
31,חיפה,4000,חיפה,175,נתיב הישיבה,official,175
31,חיפה,4000,חיפה,9716,הישיבה,synonym of 175,175
31,חיפה,4000,חיפה,176,יציב יצחק,official,176
31,חיפה,4000,חיפה,9717,ק חיים רח ו,synonym of 176,176
31,חיפה,4000,חיפה,9718,קרית חיים,synonym of 176,176
31,חיפה,4000,חיפה,9719,רח ו ק חיים,synonym of 176,176
31,חיפה,4000,חיפה,9720,יצחק יציב,synonym of 176,176
31,חיפה,4000,חיפה,9721,רח ו,synonym of 176,176
31,חיפה,4000,חיפה,9722,יציב,synonym of 176,176
31,חיפה,4000,חיפה,177,חומה ומגדל,official,177
31,חיפה,4000,חיפה,9723,רח י ק חיים,synonym of 177,177
31,חיפה,4000,חיפה,9724,רח י,synonym of 177,177
31,חיפה,4000,חיפה,178,פולד ברכה,official,178
31,חיפה,4000,חיפה,9725,פולד,synonym of 178,178
31,חיפה,4000,חיפה,9726,רח יד ק חיים,synonym of 178,178
31,חיפה,4000,חיפה,9727,רח יד,synonym of 178,178
31,חיפה,4000,חיפה,9728,ברכה פולד,synonym of 178,178
31,חיפה,4000,חיפה,179,בילינסון,official,179
31,חיפה,4000,חיפה,9729,בלינסון,synonym of 179,179
31,חיפה,4000,חיפה,9730,רח ט,synonym of 179,179
31,חיפה,4000,חיפה,9731,ק חיים רח ט,synonym of 179,179
31,חיפה,4000,חיפה,9732,רח ט ק חיים,synonym of 179,179
31,חיפה,4000,חיפה,180,ציפר,official,180
31,חיפה,4000,חיפה,9733,רח טו ק חיים,synonym of 180,180
31,חיפה,4000,חיפה,9734,ציפר דר,synonym of 180,180
31,חיפה,4000,חיפה,9735,רח טו,synonym of 180,180
31,חיפה,4000,חיפה,9736,"ד""ר ציפר",synonym of 180,180
31,חיפה,4000,חיפה,9737,דר ציפר,synonym of 180,180
31,חיפה,4000,חיפה,181,מבצע קדש,official,181
31,חיפה,4000,חיפה,9738,רח תח ק חיי,synonym of 181,181
31,חיפה,4000,חיפה,9739,רח טז,synonym of 181,181
31,חיפה,4000,חיפה,9740,רח טז ק חיים,synonym of 181,181
31,חיפה,4000,חיפה,182,לייב יפה,official,182
31,חיפה,4000,חיפה,9741,רח יז ק חיים,synonym of 182,182
31,חיפה,4000,חיפה,9742,רח יז,synonym of 182,182
31,חיפה,4000,חיפה,9743,ליב יפה,synonym of 182,182
31,חיפה,4000,חיפה,183,השיירה,official,183
31,חיפה,4000,חיפה,9744,רח ח ק חיים,synonym of 183,183
31,חיפה,4000,חיפה,9745,רח ח,synonym of 183,183
31,חיפה,4000,חיפה,184,קפלן אלישבע,official,184
31,חיפה,4000,חיפה,9746,ק חיים רח ז,synonym of 184,184
31,חיפה,4000,חיפה,9747,אלישבע קפלן,synonym of 184,184
31,חיפה,4000,חיפה,9748,רח ז ק חיים,synonym of 184,184
31,חיפה,4000,חיפה,9749,רח ז,synonym of 184,184
31,חיפה,4000,חיפה,9750,קפלן,synonym of 184,184
31,חיפה,4000,חיפה,185,בן צבי יצחק,official,185
31,חיפה,4000,חיפה,9751,רח כ ק חיים,synonym of 185,185
31,חיפה,4000,חיפה,9752,רח כ,synonym of 185,185
31,חיפה,4000,חיפה,9753,בן צבי,synonym of 185,185
31,חיפה,4000,חיפה,9754,יצחק בן צבי,synonym of 185,185
31,חיפה,4000,חיפה,186,לביא שלמה,official,186
31,חיפה,4000,חיפה,9755,רח כא ק חיים,synonym of 186,186
31,חיפה,4000,חיפה,9756,רח כא,synonym of 186,186
31,חיפה,4000,חיפה,9757,שלמה לביא,synonym of 186,186
31,חיפה,4000,חיפה,9758,לביא,synonym of 186,186
31,חיפה,4000,חיפה,187,אלי כהן,official,187
31,חיפה,4000,חיפה,9759,ק חיים רח כ,synonym of 187,187
31,חיפה,4000,חיפה,9760,רח כד,synonym of 187,187
31,חיפה,4000,חיפה,9761,רח כד ק חיים,synonym of 187,187
